800,4992
900,16224
1000,28000
1100,36737
1200,48193
1300,59855
1400,67611
1500,78539
1600,90235
1700,98295
1800,105671
1900,116407
2100,135631
2200,146271
2500,172493
2600,183789
2800,203350
2900,214438
3100,230591
3200,240767
3300,251983
3400,261631
3500,271903
3600,283007
3800,301590
3900,313254
4500,330189
4700,352237
4800,363468
4900,374940
5000,386684
5100,394513
5200,405313
5300,416833
5400,426068
5500,436244
5600,447412
5800,462180
5900,473092
6000,483998
6200,500798
6300,512366
6500,529709
6700,553278
6800,559858
6900,570642
7000,582194
7100,590451
7200,600947
7300,612611
7500,627140
7600,637780
7700,649028
7900,667203
8000,678707
8600,699487
8700,710911
8900,730420
9000,741860
9200,758853
9300,769861
9400,782559
9500,787606
9600,798086
9700,809318
9800,818935
9900,827911
10000,838855
10200,857392
10300,868096
10400,880526
10500,888501
10600,899685
10700,911201
10900,923892
11000,934772
11200,953401
11400,975577
11700,1004613
12200,1019300
12300,1029444
12400,1041310
12500,1049334
12600,1060006
12700,1071590
12900,1084599
13000,1095719
13100,1107778
13200,1117913
13300,1129193
13400,1141289
13600,1153314
13700,1163776
13900,1182365
14000,1193549
14100,1205149
14300,1219364
14400,1230420
14600,1250488
14700,1261576
14800,1273192
15000,1288025
15100,1299481
15300,1317996
15400,1329307
15600,1347433
15700,1358105
15800,1369913
16400,1385678
16500,1396670
16700,1415360
16800,1426736
17100,1457028
17200,1468948
17300,1477127
17400,1487927
17500,1499223
17600,1508261
17700,1511109
17800,1521669
17900,1532549
18100,1551912
18200,1563432
18400,1581701
18500,1593173
18800,1617715
18900,1629059
19000,1638766
19100,1649758
19200,1661390
19300,1670338
19400,1673842
19500,1684642
19600,1696603
19700,1705001
20100,1714233
20200,1725305
20400,1744016
20500,1755616
20700,1775304
20800,1786888
21100,1813262
21200,1824654
21300,1833957
21400,1843749
21500,1854421
21700,1870746
21800,1881466
21900,1892605
22000,1901118
22100,1911246
22200,1922638
22400,1941218
22500,1952338
22700,1968656
22800,1978784
22900,1989888
23000,1999065
23100,2006857
23200,2017961
23400,2037235
23500,2048067
24200,2078370
24300,2089666
24400,2099083
24500,2109387
24600,2121163
24700,2130288
24800,2133728
24900,2144720
25000,2156240
25100,2164028
25200,2175132
25300,2186364
25400,2195821
25500,2199613
25600,2210829
25700,2221821
25800,2231223
25900,2242071
26000,2254087
26100,2263199
26200,2266639
26300,2277503
26500,2298256
26600,2309632
26800,2329289
26900,2335817
27000,2347401
27200,2367705
27300,2379577
27900,2399344
28000,2410284
28200,2429552
28300,2440544
28500,2460151
28600,2464951
28700,2475863
28900,2495104
29000,2506560
29100,2518192
29200,2526404
29300,2535668
29400,2546788
29500,2556165
29600,2562085
29700,2572453
29900,2591209
30000,2601337
30100,2612706
30300,2631168
30400,2642560
30700,2668059
30900,2688297
31000,2699129
31100,2710713
31700,2727553
31800,2738913
32000,2759183
32100,2770511
32400,2795768
32500,2806744
32700,2826560
32800,2838192
33100,2865710
33200,2877326
33300,2885344
33400,2896320
33500,2908128
33600,2916902
33700,2922614
33800,2933750
33900,2944237
34000,2952941
34100,2963837
34200,2975757
34300,2984458
34400,2994858
34500,3006090
34600,3015484
34700,3021916
34800,3033116
35100,3061715
35200,3072995
35300,3082571
35700,3088187
35800,3099339
36100,3125843
36200,3136739
36400,3152253
36500,3164045
36800,3190734
37000,3212454
37100,3222982
37200,3234006
37300,3243043
37400,3250147
37500,3261379
37700,3278873
37800,3289369
37900,3301001
38000,3310492
38100,3316092
38200,3327244
38300,3339453
38400,3348747
38500,3360107
38800,3386822
38900,3398006
39100,3413976
39200,3416952
39800,3457384
39900,3468963
40000,3475444
40100,3486436
40200,3497700
40300,3507463
40400,3511623
40500,3522487
40600,3534706
40700,3543936
40800,3555120
40900,3567213
41000,3575348
41100,3586404
41200,3597988
41300,3606609
41400,3609857
41600,3633699
41800,3651203
41900,3662851
42000,3673001
42100,3681369
42200,3692393
42400,3709681
42500,3720913
42700,3741278
42800,3752526
43000,3772902
43500,3779942
43600,3791382
43700,3801972
43800,3813204
43900,3824884
44000,3832984
44100,3843032
44200,3854312
44400,3873634
44500,3884722
44700,3903693
44800,3911485
44900,3922605
45000,3931582
45100,3942190
45200,3953918
45500,3980139
45600,3992739
45700,4001113
45800,4012537
45900,4024329
46000,4033267
46100,4043827
46200,4054995
46300,4063862
46400,4070134
46500,4081286
46700,4099870
46800,4110494
46900,4121710
47000,4130937
47500,4143657
47600,4154633
47800,4171309
47900,4182893
48200,4208363
48300,4219419
48400,4228208
48500,4238176
48800,4266135
48900,4277399
49100,4296702
49200,4306062
49300,4317358
49400,4326329
49500,4337033
49600,4348249
49700,4357342
50000,4383326
50100,4391332
50200,4402324
50300,4414084
50400,4423675
50500,4430827
50600,4442011
50800,4459760
51200,4469456
51300,4480672
51400,4489873
51500,4501185
51600,4512945
51700,4521059
51800,4529171
51900,4540403
52100,4558536
52200,4569512
52300,4581592
52400,4590654
52500,4596222
52600,4607399
52800,4626969
52900,4638201
53100,4657471
53200,4663375
53500,4692543
53600,4704047
53800,4724604
53900,4728652
54000,4740204
54200,4759865
54300,4770921
54500,4790469
54600,4801125
54700,4812814
54800,4820374
55300,4830086
55400,4841334
55500,4850514
55600,4860626
55700,4872050
55900,4891099
56000,4902475
56200,4922965
56300,4934533
56700,4971928
56800,4981025
56900,4991521
57000,5002929
57300,5031755
57500,5051462
57600,5059190
57700,5070550
57800,5079888
57900,5090560
58000,5102224
58300,5127295
58400,5138749
58500,5145650
58900,5153922
59000,5164946
59200,5184079
59300,5195679
59500,5215719
59600,5225735
59700,5237505
59800,5244997
59900,5254437
60000,5266005
60100,5275299
60300,5293907
60500,5312704
60600,5324016
60700,5335648
60800,5344248
60900,5352728
61000,5363576
61100,5373264
61200,5382960
61300,5394416
61500,5413268
61600,5421188
61700,5432484
61800,5442175
61900,5450415
62000,5461423
62300,5490895
62500,5510971
62900,5514523
63000,5525611
63200,5545362
63300,5556930
63500,5576382
63600,5584334
63700,5596078
63800,5605721
63900,5614009
64000,5624937
64200,5644704
64300,5656368
64500,5677250
64600,5688946
64800,5708362
65000,5721658
65200,5741956
65300,5753156
65500,5772547
65600,5777779
65700,5789139
65900,5808329
66000,5819785
66200,5839432
66300,5849272
66500,5869651
67000,5879219
67100,5890451
67200,5899526
67300,5910134
